X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
117,NA,NA,323.793,458.931,282.631,270.782,310.045,353.221,311.987,521.637,231.699,529.455,241.506,351.265,274.878,286.489,223.797,278.74,151.357,451.123,259.026,272.821,170.93,349.25,147.415,505.909
118,NA,NA,323.781,458.939,282.618,268.935,310.049,353.222,312.005,523.573,233.606,533.362,241.508,351.268,274.877,286.488,223.792,278.735,151.353,453.035,259.022,272.824,170.932,349.256,147.378,504.017
119,NA,NA,323.783,458.957,282.621,270.777,310.054,353.228,312.007,523.592,233.617,535.33,241.508,353.063,274.876,286.492,223.798,278.733,151.361,453.046,259.023,272.824,170.933,349.26,145.488,503.994
120,NA,NA,323.772,460.844,282.622,268.923,310.055,353.226,312.005,523.599,233.616,535.331,241.508,353.064,274.878,286.487,223.792,278.737,151.363,453.053,259.025,272.826,170.934,349.262,145.506,504.004
121,NA,NA,323.751,460.872,282.626,268.927,310.059,353.228,311.989,523.613,233.611,537.286,241.505,353.071,274.878,286.491,223.791,278.721,151.361,453.064,259.028,272.827,170.925,351.078,145.504,503.995
122,NA,NA,323.753,460.87,282.618,270.785,310.06,353.223,312.013,523.599,233.649,537.285,241.507,353.071,274.878,286.501,223.788,278.715,151.364,453.073,259.027,272.832,170.924,351.079,147.375,504.015
123,NA,NA,323.765,460.878,282.625,270.78,310.055,353.223,313.972,527.496,233.652,539.237,241.505,353.074,274.878,286.503,223.788,278.712,151.378,453.08,259.027,272.829,170.921,351.085,145.486,503.98
124,NA,NA,323.763,460.872,282.636,270.786,310.055,353.22,313.973,525.539,233.638,537.317,241.505,353.068,274.881,286.505,223.782,278.704,151.374,453.064,259.03,272.829,170.921,351.078,145.478,503.979
125,NA,NA,323.769,460.87,282.633,270.786,310.055,353.221,313.953,525.541,233.628,537.3,241.506,353.068,274.878,286.503,223.78,278.692,151.372,453.079,259.027,272.828,170.921,351.076,145.498,503.987
126,NA,NA,323.773,460.845,282.628,270.782,310.058,353.207,313.955,523.601,235.579,535.357,241.511,353.06,274.877,286.503,223.781,278.704,151.362,454.987,259.026,272.828,170.931,351.079,145.497,503.996
127,NA,NA,323.775,458.96,282.626,270.781,310.068,353.206,313.965,523.607,237.51,537.293,241.517,353.06,274.877,286.503,223.783,278.724,151.361,454.999,259.024,272.828,170.939,351.083,145.469,504.006
128,NA,NA,323.785,458.939,282.62,268.934,310.06,353.197,313.973,523.61,237.525,535.329,241.515,351.256,274.873,286.502,223.786,278.741,151.366,453.084,259.023,272.831,170.933,349.262,145.491,503.992
