Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Vil,Sitar,Vilambit teental,43|12&,12,&,2,,,,N,1953.47363,1953.469229,8,4.5,0.453438,0.074556,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|13,13,On,2,,,,N,1954.031011,1953.996361,8,4.5,0.074057,0.278238,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|13&,13,&,2,,,,N,1954.556955,1954.514108,8.5,5,0.081144,0.064946,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|14,14,On,2,,,,N,1955.039854,1955.032294,9,6,0.547304,0.087549,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|14&,14,&,2,,,,N,1955.556801,1955.568316,9,6,0.197384,0.007119,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|15,15,On,2,,,,N,1956.057529,1956.061352,9,6.5,0.161002,0.081792,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|15&,15,&,2,,,,N,1956.574861,1956.580262,8.5,5.5,0.182019,0.017232,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|16,16,On,2,,,,N,1957.083841,1957.103891,8,5,0.223525,0.233641,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|16&,16,&,2,,,,N,1957.61999,1957.63324,8,6,0.171142,0.078665,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|1,1,On,2,,,,N,1958.122004,1958.130651,8,5.5,0.154749,0.344634,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|1&,1,&,2,,,,N,1958.630499,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|2,2,On,2,,,,N,1959.159307,1959.1597,8,5,0.162217,0.110894,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|2&,2,&,2,,,,N,1959.665392,,,,,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,44|3,3,On,2,,,,N,1960.168482,1960.180905,8,3,0.059207,0.078006,Anupama Bhagwat,Gurdain Rayatt,2G
