X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
1214,886.101,292.413,980.105,431.432,872.342,304.121,917.306,339.457,997.705,382.598,870.383,507.927,852.797,347.228,858.651,317.899,823.327,290.456,694.028,409.912,848.827,304.058,790.04,349.199,741.022,431.475
1215,886.092,292.429,980.098,431.433,872.353,304.118,917.319,339.487,997.703,382.598,870.324,505.961,854.601,347.241,860.543,317.89,823.321,290.468,694.025,409.914,850.692,304.057,790.061,349.185,741.013,431.474
1216,886.089,292.408,980.087,431.443,872.357,304.114,917.328,339.48,997.698,384.408,870.329,505.946,854.604,347.242,860.563,317.889,823.317,290.474,694.026,409.918,850.708,304.058,790.069,349.2,740.978,431.476
1217,886.08,292.418,980.098,429.626,872.362,304.115,917.331,339.482,997.704,384.426,870.336,505.962,854.606,347.249,860.575,317.892,823.319,290.492,694.027,409.915,850.715,304.067,790.066,349.208,740.984,431.489
1218,886.091,292.419,980.104,429.598,872.37,304.115,917.318,339.467,997.709,384.436,870.354,507.895,854.602,347.238,860.59,317.889,823.32,290.507,694.03,408.016,850.724,304.068,790.069,349.209,740.991,431.496
1219,886.094,292.406,980.113,429.595,872.38,304.118,917.318,339.467,997.712,384.447,870.352,507.887,854.61,347.238,862.483,317.889,823.324,290.508,694.031,408.018,850.741,304.074,790.09,349.215,740.993,431.498
1220,886.106,292.383,980.133,429.566,874.235,304.111,917.296,339.437,997.712,384.448,870.325,505.962,854.593,347.219,862.503,317.888,823.323,290.519,694.042,408.029,850.751,304.076,790.086,349.214,740.986,431.501
1221,886.101,292.395,980.11,429.565,874.242,304.105,915.489,339.427,997.711,384.454,868.457,505.943,852.8,345.338,862.533,317.887,823.311,290.522,694.047,408.026,850.769,304.081,790.091,349.211,740.981,431.496
1222,886.103,292.381,980.096,429.566,874.247,304.096,915.473,339.412,997.707,384.473,868.43,503.998,852.792,345.332,864.432,317.884,823.304,290.529,694.046,408.034,850.776,304.089,790.097,349.209,739.126,431.49
1223,886.118,290.555,980.103,429.539,874.259,304.092,915.474,339.411,997.707,384.467,868.442,505.934,852.799,345.331,864.455,317.886,823.302,290.54,694.046,409.91,850.787,304.097,791.915,349.206,740.973,431.495
